Month,Year,Japanese Overseas Travelers,Visitor Arrivals to Japan
Jan.,2011,"1,282,348","714,099"
Feb.,2011,"1,391,193","679,393"
Mar.,2011,"1,420,584","352,676"
Apr.,2011,"1,114,906","295,826"
May,2011,"1,152,339","357,783"
Jun.,2011,"1,267,227","432,883"
Jul.,2011,"1,465,379","561,489"
Aug.,2011,"1,786,412","546,503"
Sep.,2011,"1,637,158","538,727"
Oct.,2011,"1,517,525","615,701"
Nov.,2011,"1,497,704","551,571"
Dec.,2011,"1,461,425","572,101"
