"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1985 <= Year >= 2024""]"																																						
	1986	5	5	3	35	38.8			"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE"	37.993	37.806	10	5.9		15	1			100	2	5	2	4000	4			15	1			100	2	5	2	4000	4		
	1986	5	7	22	47	10.8	2164		"ALASKA:  ALEUTIAN ISLANDS:  ADAK"	51.52	-174.776	19	8	6								2				2								2				2
	1986	5	13	8	44	2.1			"GEORGIA:  AKHALKALAKI, SUSUZ"	41.431	43.737	10	5.7	7	2	1						3	1500	4	1500	4	2	1						3	1500	4		
	1986	5	15	14	38	9.2			"PAKISTAN:  BARKHAM, MATAKARI, HAMTAROT"	29.627	69.363	18	5.2									3												3				
	1986	5	17	16	20	22.2	2165		"ALASKA:  ANDREANOF ISLANDS"	52.327	-174.504	26	6.4																									
	1986	5	20	5	25	46.9			"TAIWAN:  HUALIEN"	24.125	121.619	19	6.4		1	1			5	1		1					1	1			5	1		1				
	1986	6	11	13	48	1.3			"VENEZUELA"	10.597	-62.928	19	6.2	7	2	1			45	1	1	2					2	1			45	1	1	2				
	1986	6	24	3	11	30.9			"PAPUA NEW GUINEA"	-4.448	143.943	102	7.1	7							0.5	1											0.5	1				
	1986	7	8	9	20	44.5			"CALIFORNIA:  PALM SPRINGS"	34	-116.61	12	6	7					29	1	4.5	2									29	1	4.5	2				
	1986	7	12	7	54	26.8			"IRAN:  S, FARS PROVINCE, MAMASANI, SHIRAZ"	29.962	51.582	10	5.6		1	1			4	1		2	300	3			1	1			4	1		2	300	3		
	1986	7	13	13	47	8.2			"CALIFORNIA:  SAN DIEGO, NEWPORT BEACH"	32.97	-117.869	6	5.8	6							0.7	1											0.7	1				
	1986	7	18	17	22	38.2			"VENEZUELA:  CHURUGUARA,  FALCON, LARA"	10.77	-69.428	7	4.9		1	1						1	30	1			1	1						1	30	1		
	1986	7	21	14	42	26.6			"CALIFORNIA-NEVADA:  CHALFANT VALLEY"	37.537	-118.447	9	6.2	6							1	2											1	2				
