,date,latitude,longitude,depth_km,earthquake_magnitude,tsunami_event_id,runup_count,max_water_height_m,min_source_dist_km,max_source_dist_km,unique_countries_count
count,341,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0
mean,2007-08-06 19:48:58.647214080,8.454706744868036,53.25810263929618,25.266862170087975,7.141055718475073,4160.41348973607,49.56304985337243,2.174340175953079,191.5788891429243,2558.954717887819,3.129032258064516
min,1985-03-03 22:47:09.500000,-61.825,-179.971,5.0,4.6,2158.0,1.0,0.01,1.3119226172848033,5.014422370533828,1.0
25%,1996-10-18 10:50:20.800000,-16.423,-73.125,12.0,6.7,2277.0,1.0,0.1,40.57169805094025,142.12374709405157,1.0
50%,2009-09-02 07:55:01,7.881,125.049,21.0,7.1,4682.0,3.0,0.22,114.85302451458116,428.59325988757615,1.0
75%,2016-11-24 18:43:47.700000,36.939,152.327,33.0,7.6,5663.0,12.0,1.03,232.5975921551082,2186.0191542766884,3.0
max,2024-12-17 01:47:26,59.821,179.444,167.0,9.1,5942.0,6034.0,50.9,2186.0191542766884,19265.83039667312,46.0
std,,29.26493891525742,124.19018930693512,19.169730700379304,0.6648865890496555,1573.6823663903976,353.0251278109882,5.957381130244966,266.59377618498496,4521.465180899961,5.2345915568077865
