country,location,tsunami_count
Japan,GONOURA,3
Japan,GORINSAWA,1
Japan,HABOROKO,1
Japan,HACHINOHE,26
Japan,HACHINOHE (KENSETSUKYOKU),1
Japan,HAKATA,1
Japan,HAKODATE,16
Japan,HAKODATEKO,1
Japan,HAMAATSUNAI,1
Japan,HAMADA,3
Japan,HAMANAKA,1
Japan,HAMATAIKI,1
Japan,HAMATSUMAE,1
Japan,"HAMO PORT, SADO CITY",1
Japan,HANASAKI,31
Japan,HANASAKI PORT,1
Japan,HARAUTA,1
Japan,"HATSUMATSUMAE, OKUSHIRI ISLAND",1
Japan,"HEGURAJIMA PORT, WAJIMA",1
Japan,HIAGARI,1
Japan,HICHIRIPPU,1
Japan,HIDAKAHOROBETSU,1
Japan,HIGASHISHIZUNAI,1
Japan,HIMEJI,1
Japan,HIMEKAWAKO,1
Japan,"HIMI CITY, AO (01)",1
Japan,"HIMI CITY, AO (02)",1
Japan,"HIMI CITY, AO (03)",1
Japan,"HIMI CITY, HIMI (01)",1
Japan,"HIMI CITY, HIMI (02)",1
Japan,"HIMI CITY, KUBO (01)",1
Japan,"HIMI CITY, SHIMAO (01)",1
Japan,"HIMI CITY, SHIMAO (02)",1
Japan,HIRADO,1
Japan,HIRAKATA,1
Japan,HIRARA,9
Japan,"HIRARA, MIYAKOJIMA ISLAND",2
Japan,HIROO,2
Japan,HIROO-GAWA,1
Japan,HIROSHIMA,1
Japan,HIROTAWAN,1
Japan,HITACHI CITY,1
Japan,HITAKATSU,2
Japan,HOKKAIDO,1
Japan,HOKKAIDO PREFECTURE,1
Japan,HONDOSETO,1
Japan,HOROKAYANTO,1
Japan,HOROKAYANTOU,1
Japan,HOROMAN,1
Japan,HOROMANBETSU,1
Japan,"HORONAI, OKUSHIRI ISLAND",1
Japan,HOSOSHIMA,10
Japan,HYAKUNINHAMA,1
Japan,HYUGA-SHIRAHAMA,3
Japan,"IBARAKI PREFECTURE, KANTO REGION",1
Japan,ICHIKAWA,1
Japan,IIDA,1
Japan,IIDA (SUZU CITY),1
Japan,"IIDA PORT, SUZU CITY",1
Japan,"IMIZU CITY, KAIRYUU (01)",1
Japan,"IMIZU CITY, KAIRYUU (02)",1
Japan,"IMIZU CITY, KAIRYUU (04)",1
Japan,"IMIZU CITY, KAIRYUU (05)",1
Japan,"IMIZU CITY, SYOUSEI (01)",1
Japan,"INAHO, OKUSHIRI ISLAND",1
Japan,IRIFUNE,1
Japan,IRIKA,1
Japan,IRIOMOTE ISLAND,2
Japan,IROZAKI,5
Japan,"ISHI, AMAMI ISLAND",1
Japan,ISHIGAKIKO,19
Japan,ISHIKARIWANSHINKO,3
Japan,ISHINOMAKI,8
Japan,ISOBE,1
Japan,ITO,1
Japan,"ITOIGAWA CITY, TERASHIMA (01)",1
Japan,"ITOIGAWA CITY, TSUTSUISHI (01)",1
Japan,"ITOIGAWA CITY, TSUTSUISHI (02)",1
Japan,ITSUKAWAME,1
Japan,IWAFUNEKO,1
Japan,IWAKI CITY,1
Japan,IWANAIKO,3
